timestamp,station_id,station_name,latitude,longitude,total_slots,available_slots,occupied_slots,occupancy_rate,n_charging_sessions,total_kwh,revenue,avg_session_duration,charger_type,location_type,hour,day_of_week,day_of_month,month,quarter,week_of_year,is_weekend,time_period_encoded,is_business_hours,distance_from_center,zone_encoded,location_type_encoded,rolling_mean_occupancy_1d,rolling_std_occupancy_1d,rolling_mean_occupancy_3d,rolling_std_occupancy_3d,rolling_mean_occupancy_7d,rolling_std_occupancy_7d
2025-01-02 13:22:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,3,5,0.625,1,110.98978773920602,27.747446934801506,50.0,AC,commercial,13,3,2,1,1,1,0,3,1,10.646163614156318,2,5,0.625,,0.625,,0.625,
2025-01-05 03:35:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,7,1,0.125,0,0.0,0.0,65.0,AC,commercial,3,6,5,1,1,1,1,0,0,10.646163614156318,2,5,0.125,,0.375,0.3535533905932738,0.375,0.3535533905932738
2025-01-07 21:45:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,3,5,0.625,0,0.0,0.0,90.0,AC,commercial,21,1,7,1,1,2,0,6,0,10.646163614156318,2,5,0.625,,0.4583333333333333,0.2886751345948129,0.4583333333333333,0.2886751345948129
2025-01-11 05:04:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,7,1,0.125,0,0.0,0.0,85.0,AC,commercial,5,5,11,1,1,2,1,1,0,10.646163614156318,2,5,0.125,,0.2916666666666667,0.2886751345948129,0.375,0.28867513459481287
2025-01-13 15:25:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,3,5,0.625,0,0.0,0.0,22.0,AC,commercial,15,0,13,1,1,3,0,4,1,10.646163614156318,2,5,0.625,,0.4583333333333333,0.2886751345948129,0.425,0.27386127875258304
2025-01-14 21:36:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,3,5,0.625,0,0.0,0.0,15.0,AC,commercial,21,1,14,1,1,3,0,6,0,10.646163614156318,2,5,0.625,,0.4583333333333333,0.2886751345948129,0.4583333333333333,0.2581988897471611
2025-01-17 11:21:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,2,6,0.75,1,26.000699642364378,6.500174910591094,294.0,AC,commercial,11,4,17,1,1,3,0,2,1,10.646163614156318,2,5,0.75,,0.6666666666666666,0.07216878364870333,0.5,0.2602082499332666
2025-01-20 14:19:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,2,6,0.75,0,0.0,0.0,59.0,AC,commercial,14,0,20,1,1,4,0,4,1,10.646163614156318,2,5,0.75,,0.7083333333333334,0.07216878364870333,0.5178571428571429,0.27413283189689175
2025-01-20 23:08:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,7,1,0.125,0,0.0,0.0,93.0,AC,commercial,23,0,20,1,1,4,0,0,0,10.646163614156318,2,5,0.125,,0.5416666666666666,0.3608439182435161,0.5178571428571429,0.27413283189689175
2025-01-26 21:57:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,5,3,0.375,0,0.0,0.0,18.0,AC,commercial,21,6,26,1,1,4,1,6,0,10.646163614156318,2,5,0.375,,0.4166666666666667,0.31457643480294784,0.48214285714285715,0.27413283189689175
2025-01-27 13:21:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,3,5,0.625,0,0.0,0.0,151.0,AC,commercial,13,0,27,1,1,5,0,3,1,10.646163614156318,2,5,0.625,,0.375,0.24999999999999992,0.5535714285714286,0.2265817417937414
2025-02-01 20:50:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,5,3,0.375,0,0.0,0.0,61.0,AC,commercial,20,5,1,2,1,5,1,6,0,10.646163614156318,2,5,0.375,,0.4583333333333333,0.14433756729740632,0.5178571428571429,0.23305680893395106
2025-02-04 14:47:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,2,6,0.75,0,0.0,0.0,70.0,AC,commercial,14,1,4,2,1,6,0,4,1,10.646163614156318,2,5,0.75,,0.5833333333333334,0.19094065395649323,0.5357142857142857,0.2470058800148384
2025-02-04 14:50:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,3,5,0.625,0,0.0,0.0,83.0,AC,commercial,14,1,4,2,1,6,0,4,1,10.646163614156318,2,5,0.625,,0.5833333333333334,0.1909406539564932,0.5178571428571429,0.23305680893395106
2025-02-04 17:54:00,1,Charging Station 1,28.474908023769473,77.47535715320495,8,1,7,0.875,0,0.0,0.0,16.0,AC,commercial,17,1,4,2,1,6,0,5,1,10.646163614156318,2,5,0.875,,0.75,0.12499999999999978,0.5357142857142857,0.25733293239544386
