date,station_id,available_slots,occupied_slots,occupancy_rate,n_charging_sessions,total_kwh,revenue,avg_session_duration
2025-01-01,2,7.0,1.0,0.125,0,0.0,0.0,55.0
2025-01-01,3,14.0,2.0,0.125,0,0.0,0.0,291.0
2025-01-01,5,9.0,1.0,0.09999999999999998,0,0.0,0.0,110.0
2025-01-01,7,2.5,1.5,0.375,3,424.91116606279917,106.22779151569979,144.5
2025-01-01,8,5.0,1.0,0.16666666666666663,1,54.80175078973367,13.700437697433417,21.0
2025-01-01,9,2.0,4.0,0.6666666666666667,1,53.68646224826912,13.42161556206728,28.0
2025-01-01,12,4.0,2.0,0.33333333333333337,0,0.0,0.0,86.0
2025-01-01,13,6.0,10.0,0.625,1,32.347561931734084,8.086890482933521,212.0
2025-01-01,14,12.0,0.0,0.0,0,0.0,0.0,48.0
2025-01-01,16,2.0,2.0,0.5,0,0.0,0.0,276.0
2025-01-01,18,3.0,5.0,0.625,0,0.0,0.0,107.0
2025-01-01,21,1.5,2.5,0.625,0,0.0,0.0,120.0
2025-01-01,22,7.0,5.0,0.41666666666666663,1,73.87828146483304,18.46957036620826,80.0
2025-01-01,23,5.0,1.0,0.16666666666666663,1,12.00164496088726,3.000411240221815,51.0
2025-01-01,24,1.0,9.0,0.9,2,125.4508531099473,31.362713277486826,60.5
2025-01-01,25,5.0,7.0,0.5833333333333333,1,133.90704557678396,33.47676139419599,86.0
2025-01-02,1,3.0,5.0,0.625,1,110.98978773920602,27.747446934801506,50.0
2025-01-02,2,1.0,7.0,0.875,0,0.0,0.0,74.0
2025-01-02,4,5.0,1.0,0.16666666666666663,0,0.0,0.0,17.0
2025-01-02,5,9.0,1.0,0.09999999999999998,0,0.0,0.0,151.0
2025-01-02,11,6.5,3.5,0.35,1,19.334563595740224,4.833640898935056,45.0
2025-01-02,12,1.0,5.0,0.8333333333333334,0,0.0,0.0,181.0
2025-01-02,14,10.0,2.0,0.16666666666666663,0,0.0,0.0,49.0
2025-01-02,15,5.5,4.5,0.45,2,160.15333011016838,40.038332527542096,67.0
2025-01-02,16,1.75,2.25,0.5625,4,298.9749133486519,74.74372833716298,84.875
2025-01-02,17,4.5,3.5,0.4375,0,0.0,0.0,83.5
2025-01-02,18,1.0,7.0,0.875,0,0.0,0.0,114.0
2025-01-02,19,3.0,1.0,0.25,0,0.0,0.0,40.0
2025-01-02,20,3.0,9.0,0.75,0,0.0,0.0,31.0
2025-01-02,24,9.0,1.0,0.09999999999999998,0,0.0,0.0,111.0
2025-01-03,2,4.0,4.0,0.5,1,11.645897673031858,2.9114744182579644,35.0
2025-01-03,4,3.0,3.0,0.5,2,19.646457170604084,4.911614292651021,56.5
2025-01-03,11,2.0,8.0,0.8,0,0.0,0.0,83.0
2025-01-03,13,15.0,1.0,0.0625,1,82.7691829469194,20.69229573672985,103.0
2025-01-03,20,6.5,5.5,0.45833333333333337,1,121.09968850699411,30.27492212674853,93.5
2025-01-04,3,6.0,10.0,0.625,0,0.0,0.0,42.0
2025-01-04,4,3.0,3.0,0.5,1,61.331700258821726,15.332925064705432,71.0
2025-01-04,5,4.0,6.0,0.6,0,0.0,0.0,77.0
2025-01-04,6,7.0,3.0,0.30000000000000004,0,0.0,0.0,25.0
2025-01-04,7,2.0,2.0,0.5,0,0.0,0.0,66.0
2025-01-04,8,3.0,3.0,0.5,0,0.0,0.0,34.0
2025-01-04,11,5.0,5.0,0.5,0,0.0,0.0,258.0
2025-01-04,12,3.0,3.0,0.5,0,0.0,0.0,18.0
2025-01-04,14,5.0,7.0,0.5833333333333333,0,0.0,0.0,108.0
2025-01-04,15,4.0,6.0,0.6,3,97.12031400654853,24.28007850163713,58.333333333333336
2025-01-04,16,4.0,0.0,0.0,0,0.0,0.0,131.0
2025-01-04,17,3.0,5.0,0.625,0,0.0,0.0,73.0
2025-01-05,1,7.0,1.0,0.125,0,0.0,0.0,65.0
2025-01-05,3,9.0,7.0,0.4375,0,0.0,0.0,66.0
2025-01-05,5,5.0,5.0,0.5,2,452.3054096386379,113.07635240965948,40.5
2025-01-05,9,3.0,3.0,0.5,1,120.80378321054602,30.200945802636504,221.0
2025-01-05,11,6.0,4.0,0.4,0,0.0,0.0,78.0
2025-01-05,17,4.0,4.0,0.5,0,0.0,0.0,24.0
2025-01-05,18,3.0,5.0,0.625,1,62.193542274713856,15.548385568678464,18.0
2025-01-05,19,2.5,1.5,0.375,0,0.0,0.0,83.5
2025-01-05,20,6.0,6.0,0.5,2,127.79738314450975,31.949345786127438,84.5
2025-01-05,23,6.0,0.0,0.0,0,0.0,0.0,27.0
2025-01-05,24,9.0,1.0,0.09999999999999998,0,0.0,0.0,25.0
2025-01-06,2,3.3333333333333335,4.666666666666667,0.5833333333333334,3,158.50401370272073,39.62600342568018,67.33333333333333
2025-01-06,3,10.0,6.0,0.375,4,529.76021359345,132.4400533983625,72.75
2025-01-06,11,2.0,8.0,0.8,1,74.62377875521054,18.655944688802634,102.0
2025-01-06,12,1.0,5.0,0.8333333333333334,3,113.99895665974017,28.499739164935043,38.333333333333336
2025-01-06,13,3.0,13.0,0.8125,1,21.845113878254544,5.461278469563636,94.0
2025-01-06,19,1.0,3.0,0.75,2,41.07678127528953,10.269195318822382,73.5
2025-01-06,21,1.5,2.5,0.625,1,39.64241682360839,9.910604205902098,62.5
2025-01-06,22,2.0,10.0,0.8333333333333334,1,50.23109808885056,12.55777452221264,42.0
2025-01-06,25,4.0,8.0,0.6666666666666666,0,0.0,0.0,83.0
2025-01-07,1,3.0,5.0,0.625,0,0.0,0.0,90.0
2025-01-07,3,5.0,11.0,0.6875,1,126.97274263615607,31.743185659039018,88.0
2025-01-07,4,6.0,0.0,0.0,0,0.0,0.0,99.0
2025-01-07,6,2.0,8.0,0.8,0,0.0,0.0,273.0
2025-01-07,10,6.0,4.0,0.4,0,0.0,0.0,76.0
2025-01-07,15,4.0,6.0,0.6,1,82.15881732095296,20.53970433023824,52.0
2025-01-07,18,2.0,6.0,0.75,0,0.0,0.0,23.0
2025-01-07,19,1.0,3.0,0.75,0,0.0,0.0,84.0
2025-01-07,21,4.0,0.0,0.0,0,0.0,0.0,112.0
2025-01-07,24,3.0,7.0,0.7,0,0.0,0.0,174.0
2025-01-08,4,1.0,5.0,0.8333333333333334,1,109.34028141812325,27.335070354530814,30.0
2025-01-08,6,9.0,1.0,0.09999999999999998,0,0.0,0.0,58.0
2025-01-08,8,3.0,3.0,0.5,3,256.55339548292574,64.13834887073143,28.333333333333332
2025-01-08,10,9.0,1.0,0.09999999999999998,1,126.72105299692024,31.68026324923006,56.0
2025-01-08,11,9.5,0.5,0.04999999999999999,2,48.574251141991795,12.143562785497949,53.5
2025-01-08,12,5.0,1.0,0.16666666666666663,2,121.98513794108153,30.496284485270383,42.0
2025-01-08,14,3.5,8.5,0.7083333333333333,2,91.08074857630683,22.770187144076708,80.5
2025-01-08,16,2.5,1.5,0.375,1,19.29230971921983,4.8230774298049575,66.5
2025-01-08,19,3.0,1.0,0.25,0,0.0,0.0,16.0
2025-01-08,20,12.0,0.0,0.0,0,0.0,0.0,32.0
2025-01-08,23,1.0,5.0,0.8333333333333334,0,0.0,0.0,117.0
2025-01-08,24,8.0,2.0,0.2,0,0.0,0.0,161.5
2025-01-09,2,8.0,0.0,0.0,0,0.0,0.0,109.0
2025-01-09,7,4.0,0.0,0.0,1,10.442591302993096,2.610647825748274,73.0
2025-01-09,10,3.0,7.0,0.7,0,0.0,0.0,102.0
2025-01-09,12,0.0,6.0,1.0,2,165.8517511726942,41.46293779317355,102.0
2025-01-09,16,4.0,0.0,0.0,0,0.0,0.0,57.0
2025-01-09,17,1.5,6.5,0.8125,4,241.63305478253116,60.40826369563279,72.66666666666667
